RawText,Polarity,ReviewScore
모델핏이 너무 예뻐서 구입했는데 제가 입으니 핏보다는 입어보니 편하고 사이즈 넉넉하고 가볍네요 진청 말고 연청 2개는 색깔이랑 천이 동일한거 같아요 밑단 모양만 다르고 같은 제품 같아서 살까 말까 고민했는데 한여름도 잘 입고 다닐것 같아 선택했어요 가벼워서 잘 입고 다닐 수 있것 같아요,긍정,80
사이즈가 원래 입던 사이즈보다 크게 나와서 교환했는데 보이핏이라 그런지 옷도 착용감이 편하고 원단도 가볍고 시원해서 지금부터 쭈욱입기 딱좋은거같아요,긍정,100
싸이즈는 넉넉하고 막입고 다니기에 얇고 가벼워서 너무 좋아요. ,긍정,100
여름철바지 시원해서 좋아요.색상도 이뻐요. 밝아서 마음도 환해집니다. 얇구요. 품이 있어 편합니다.쭉쭉 당겨지는 신축성은 없지만 확실히 착용감은 편해요.한치수 작게 하세요.작게해도 품은 넉넉합니다.몸무게 62 29입는데 29구매하니 좀 큽니다.28입어도 됩니다.,무반응,100
벤딩이 입기 너무 편하게 잘 되어있어요 출근할때 별생각 없이 입을 수 있어서 좋아요 ,긍정,100
바지들이 착용감 편하김 편하네요. 그런데 색상별로 사이즈가 조금씩 차이가 나네요.,무반응,100
저렴한 가격에 득템해서 기분 좋네요..수선비 합해도 가성비갑입니다..봄부터 가을까지 출근복으로 딱입니다..아쉬운 점은 출고시 구김이 많았는데 수선하니 세탁소에서 싹 다려주어 해결되었네요..,긍정,100
품질은가격대비 만족 사이즈가 색상별로 차이가큰편임,무반응,80
진짜  너무 싸고 입을만 하네요  잘샀다고 합니다 단지  싼 만큼 바느질은 엉망이라  손질 좀했어요,무반응,100
가격완전싸고 품질도 핏도넝수너무이쁩니다 또한쎋주문할까합니다 바지가 다긴바지였으면 딱좋은데유,긍정,100
급히입고나갔다가 검정바지 옆선이 튿어져있어서 살이 다보여서 망신스러 혼났습니다 입고나가버린지라 반품도 안될거같고 진심 짜증나네요 품질이 꽝이네요ㅜㅜ,부정,20
배송은 빠르네요. 제품은 품질이 그냥그냥.. 바지 수량은 많은데 디자인이 특별히 좋거나 예쁘지는 않아요. 너무 얇기도 하고...,무반응,60
가격저렴해서좋고?핏도 괞찮네요..또신청할라고용 좋다고 주의측근들한테ᆢ소문까지 냈습니다 굿입니다,긍정,100
얇은 바지고 신축성은 좋아서..편하긴한데..레깅스같아요.. 세탁을 하니까 바지가 흐물거리고 늘어나고..좀..검정바지는 물이 너무 빠지고 ...뭐라 표현하기 어렵네요,무반응,80
품질은 싼만큼의 그 값어치정도에요. 실밥나온거 제거하니 실이 도로록빠지면서 구멍이 생기네요.  박음질이 엉망이지만 5벌의 바지이기에 품질이 그러려니 합니다.,부정,100
밴딩 고무줄이 입는 순간 꼬이네요  티 위로 입을거라 손바느질 했어요,부정,20
"아는 사람 다 사주고 싶은 옷이네요  세탁후 줄어든다는 평보고 한치수 크게 사서 입었는데  너무 편하고 좋아요   줄어들어주면 더 굿,  타이트해도 편할거 같아요!  ",긍정,100
"`사이즈가 많이 크게 나왔네요, 그래도 편하게 입기엔 좋아요.",무반응,80
4벌에 할인하고 적립금 써서 싸게 샀어요 큰기대 안했는데 착용감 편하고 괜찮네요 한벌가격이라 해도 싸게 샀어요,긍정,100
살짝 크기도 하고 소재가 얇아 속옷이 비칠 염려도 되지만 흰색 빼고는 막 입을거 찾다가 산거라 이 가격이면 충분하다 생각하고 입을랍니다~,무반응,100
재질도 시원하고 착용감 편하고 좋아요  저는 허리가 좀 큰데 단추 옮겨서 다시 달아야 할 것 같아요  허리밴드라 너무 좋아요 ,긍정,100
생각보다 이쁘네요. 뒤에 밴드가 있어 편해요 회사 출근할때 입으려 샀어요 가격도 저렴해서 득템한거 같아요,긍정,100
키 작은 사람이 입으니 디자인이 조금 더 와이드 해보입니다.  시원하네요,긍정,80
시원한하고 입으면 편안하고 핏도 좋아요~ 잘 입을것 같아요.만족합니다.,긍정,100
시원하고 입기 편하고 너무 좋아요 아는동생도 제가 입은걸보고 주문했답니다 고맙습니다,긍정,100
사이즈도 편하게 입을수 있고 여름 시원하고 착용감 편하게 날 수 있을 듯 ,긍정,100
크지만 디자인 예뻐서 한치수 작은거로 바꿀까 고민하다 그냥입기로함,무반응,100
간밤에 엄마옷좀 사다 드릴까 생각하다 잠들었는데 아침에 일어나서 무심결에 티비 틀었더니 요런 가성비 좋은 제품을 판매하고 계시더라구요 주저없이 주문했는데 엄마가 받아보시고는 좋아하셨어요 저도 사고 싶어 지네요~~~ 디자인 예뻐요,긍정,100
세벌다 맘음에 들어요  허리뒷쪽이 고무줄이라 그런지 입기 편하고 여유가 있어 반치수는 내려 입어도 좋을거 같아요,무반응,100
올 여름 시원하게 잘 입을께요 핏ㆍ색상 좋으네요 지인들하고 나누어 입어야되겠네요,긍정,100
시원하고 구김도 안가구 좋아요. 제가 키가작아서 걱정했는데.. 기장 좋네요^^    ,긍정,100
크게 나왔네요.반품합니다기장도 길어서 수선비가 더 나오겠어요..좀 두껍네요,부정,100
스판 엄청좋고 입기 편하네요 핏도 괜찮은것 같고 사이즈는 반사이즈인분은 내리시는게 좋을듯..   ,긍정,100
색상도 괜찮고 디자인도 예뻐 맘에 듭니다. 평소 88입는데 31사이즈 맞구요. 다만 바지길이가 너무 길어 밑단 수선하느라 수선비가 많이나와 배보다 배꼽이다라늰 생각이 드네요.,무반응,80
디자인이 예쁘기도 한데 입으니 무지 편하네요 신축성 짱입니다 한여름에 입긴 좀 덥지만 구입하길 잘한거 같애요,긍정,100
상품을주문하고택배를받았는데 헐 실망이더군요 싸이즈를같은3종을주문했는데다 다른싸이즈가왔네요 검정색은맞아서다똑같은줄알았는데 사이즈가 이상해요 원단도별루 ㆍ ,부정,20
이가격에 3벌이면 가성비 짱입니다.  신축성이 좋아서 활동하기도 편해요,긍정,100
처음에 잘 모르겠는데 입을수록 불편해요 딱 붙지않구 자꾸 흘러 내리는거 같은 불편함이 있어요 옷감의 재질에 비해 무거운 느낌이 있네요,부정,20
상품  스판끼도 많구  치수는 한칫수 작게고르는게 낳을듯 합니다,무반응,100
장점은신축성이 좋다는거~~~ 단점은 기장이너무길고. 허리밴드가 느무느무 넉넉하다는거 두꺼워서 더운때입기엔 좀... 그래도 밑단 줄이고  나름 막 입기엔 괜찮을듯 합니다~~~,부정,60
사이즈가크게나왔어여 신축성은끝내주고 베이지는입어보는순간허리밴드에서투투둑끊어지는소리가나네여 화면하고다르게약간나팔느낌없는데여 급해서자세히확인안하고착용 오늘도입었을때좀더운데 한여름에는더덥겠네여,부정,80
편해서 입고 나서기 좋아요. 신축성도 좋고 그다지 두껍지않아 한여름 빼고는 입을 수 았겠어요.,긍정,100
편안하고 디자인은예쁜데  커서 교환해야 입을슨있을수 있을것같아요 ᆢ 바지도 두꺼워요,무반응,60
검정색보다 무늬있는 바지는 약간 더 크고 넓어요ᆢ암튼 편하게 입을수 있는 옷이에요,무반응,60
가성비 좋구요 신축성은 약간 색상ㅈ은 티브이랑 조금다르네요,무반응,100
바지 4종 모두 맘에 들어요. 평소 바지 77사이즈 입어서 평소  사이즈로 신청했는데 사이즈 잘 맞고 핏도 괜찮아요. 핑크색이 맘에 들어샀는데 색깔 모두 다 맘에 드네요. 허리도 밴딩이라 좋구요. 다른이들에게도  추천할만 하네요.,긍정,100
기대하지 않았는데 의외로 좋아요 촉감좋고 스판성도굿 핏은 2프로 부족 가성비 짱,긍정,100
바지가 편하네요. 구김은 생기는데 스프레이후 걸어 두면 잘 펴지네요,긍정,80
엄마 선물로 주문 했는데 스타일도 괜찮고 편한데 밑부분이 좀 짧다고 하더라구요..그래도 잘입고 다닐거 가따고 좋아하셨어요.,무반응,80
컬러가 세련되고 품질.디자인 좋아요.사이즈가 넉넉하다는군요.젊어보이는 게 맘에 들어요.,긍정,100
사진에나온 색상하고 많이똑같아요 울신랑 키가 178cm~179cm 정도되는데 32사이즈 기장도 딱맞네요 슬림핏이에요^^,긍정,100
신축성이 좋고 시원하고 넘 편해서 청바지가 거기서 거기지 하던 신랑이 완죤 만족해합니다~^^~,긍정,100
"가성비  좋아요~~그런데  완전  일자핏은  아닌듯...우리신랑  여름용으로  나뿌지 않다고..,그런데  길이가  그닥  길지않음",무반응,80
최근엔 청바지를 별루 입은적이 없어 그것도 여름  청바지는 처음 이라 살짝 걱정도 되었지만 가격도 괜찮은것 같아 반신반의하며 구매했는데 쬐이도 없고 아주 편해서 불편함 없이 출 퇴근 때도 잘 입고 다니고요~  색상도 무난하고 부담도 없어 편하네요~^^ 가격이 좀 싸서 별루 기대하지 않았는데 생각보다 가성비  갑입니다. 적극 추천해도 될것 같아요~,긍정,100
크기도 적당하고 잘늘어나서 착용감도  좋네요. 잘입을께요,긍정,100
얇으면서도 핏이 좋아요. 원래 32는 살짝 작은데 사이즈가 좀 크게나온듯... 젤 진한 바지는 통이 좀 좁고 나머지 두개는 통이 딱 좋네요 ,무반응,100
아들이 청바지를 즐겨입어 구입했는데 얇고 디자인도 핏도 좋다고 이것만 입습니다. 강추입니다       ,긍정,100
3가지 사이즈가 다 다릅니다. 사이즈 차이가 많이 나네요. 스탠체형인데 한갠 못입을 정도입니다.  ,부정,100
내거랑 신랑것 같이주문 배송빠르고 색상도 예뻐요 얇아서 허물하지만 저는그게 더 좋아요. 사이즈 많이 넉넉합니다.,긍정,100
싸이즈도 딱 맞고 좋네요 다만 종아리 부분이 쫌 달라붙는...ㅋ,무반응,100
정말!! 청진바지가 얇고 색이 이뻐서 올여름은  시원하게  잘 보낼수 있을것  같네요~ 그런데 중간색 블루는 사이즈가 한치수 크게 나온것 같아요~한개만 교환할수도 없고 고민되요..,긍정,60
바지가 너무 편하고 좋아요 핏도 괜찮고 사방 스판에 허리 밴딩 처리로 매우 만족스러워요 감사합니다,긍정,100
환상의 핏!쭈욱쭉 늘어나는 편안함!정말 선택 잘 한거같아요ㅎㅎ매일 입어도 질리지않을거같아요!!,긍정,100
얇고 가벼워서 좋아요~  여름에 시원하게 잘 입을수 있을것 같아요~,긍정,100
종아리와 허벅지가 두꺼워서 늘 청바지를 고를때 신중해야했는데 눈 딱감고 사보니 가볍고 얇고 스판력이 좋아서 편하네요. 잘입을께요,긍정,100
저렴한 가격에 3벌 구입했어요. 입으니 불편하고 너무 더워요 잘 안입어 질것 같아요,무반응,100
"입어보니 불편합니다 여름용이라고 하기엔 좀 두꺼운 편입니다. 봄, 가을에 입기 좋을 듯 합니다~~",부정,80
이번이 OOO 두번째 구매입니다. 평소 34사이즈 입는데 허리 신축성이 좋아서 32사이즈 입으면 핏도 그렇고 디자인이 딱 이쁘고 좋은거 같아요 34로 입으면 핏이 너무 헐렁해서 안 이쁘더라고요 아이스블루 빼고는 두개는 색이 비슷하긴하네요 아이스블루 때문에 사긴했지만 ㅋ 편하고 좋아요 역시 OOO,무반응,100
한세트 구매후  편하고 예뻐서  남편것도 구매하게 되었어요.가성비최고 핏도 이정도면 좋네요,긍정,100
늘 두꺼운 청바지만 입다 여름이 다가와 선물해줬더니 별로 안좋아하네요. 덥고 불편한 여름 될것 같데요~~그리 얇지도 않아요,부정,100
28입던 울아들 30으로 했더니 약간 크긴해도 넉넉하게 입어야 할듯하네요,무반응,100
빠른 배송으로 나들이 때 입을 수 있었던 아들이 꽤나 만족하는 눈치다. 신축성도 좋고 맵시가 있어 보기 좋았다. 품질과 가격 면에서 만족한다.,긍정,100
편하긴 한데  원단이  너무 부드러워  데님 느낌은 좀 없는듯 하지만 가격 대비  만족,긍정,80
소재가 편하고 뒤에가 고무줄로 되어있어서  무지 입기가 편하네요 여름용으로 딱이네요 가격대도 굳입니다...,긍정,100
생각보다 사이즈가 각각 달라서 좀 놀래긴 했는데 바지가 편해보여서 여름내 잘 입을 듯 합니다~^^,무반응,80
허리에 밴드가 있어서 펀하겠어요. 옷감도 여름에 입기 적당하고 신축성이 있어 좋네요.,긍정,100
178  56kg  중3  아들 입었는데 핏이 정말 예술이네요  아이도 입고 외출했다 들어 오더니 바지 정말 편하고 좋다고  합니다,긍정,100
아버지와 아들이 사이좋게 나눠서 입었어요 시원하고 잘 맞아서 마음에 들어하네요,긍정,100
고무밴드가 있어 늘어나니깐 허리가 큰 것같네요. 담엔 한치수 작게...그럼 타이트하겠죠,부정,60
"더운 여름에 땀이 많이 나는데,  땀을 잘 배출해주어서 너무 좋습니다.  이제 여름에 필수 아이템이 된 것같습니다. :) 적극추천입니다. 허벅지도 좀 커서 걱정이었는데 핏도 좋아요",긍정,100
친구가 주문해달라해서 주문했는데 착용감도 편안하고 스판도 짱이라고 너무 좋다고 합니다.. 입었을때 어디한곳도 불편한감을 느낄수가 없다고 합니다.. 역시 OOO이 최고라고 합니다.. 많이 파세요.. ,긍정,100
여름바지가방송에나오길레샀더니~너무시원하고편하데요~~올여름시윈하계잘입고다닐께요~~,긍정,100
이름 때문인지 가격은 다른 홈쇼핑 상품에 비해 약간은 비싼 느낌이구요 OOO의 특성상 기장이 좀 길어요 허리는 매우 넉넉하네요 배만 특히 나오신분들한테 좋겠네요,부정,60
밴드가 어색할 줄 알았는데 그렇지 않고 좋았어요~. 입으니 편하고 촉감 좋구요. 가격! 핫~입니다.,긍정,100
항상 OOO바지 구입해서 입고있어요. 아들한테 사주었더니 재질도 얇고 스판성도 좋아서 더운 여름을 잘보낼수 있다고 아들이 좋아 합니다.,긍정,100
바지3종 사이즈가 다릅니다. 한종류는 작고 두종류는 너무 큽니다. 스판이 너무 많아 청바지라고 보기엔 좀 아닌듯하네요. 반품 신청합니다. ,부정,60
색상들도 이쁘고 허리 밴드도 정말 편하고 핏도 좋고 역시 OOO입니다. 시원하게 잘 입을께요,긍정,100
원단은얇아요같은사이즈인데 바지마다사이즈가달라서 헐렁하고꽉끼고해서 반품신청합니다.,무반응,60
ㅇㅇ입니다~ 핏감 안좋구요~ 색상도 별로에요~ 배송 또한 느리구요,부정,100
바지는 두껍고 스판성 꽝!~ 아들이 맘에 안들어합니다. #배송상태도 맘에 안들지만요. 박스에 기름인지 검은색이 묻어서 ... 손이며 집 안 바닥에 여기저기 묻고...,부정,100
사이즈30으로 시켰는데 바지3벌이 제각각입니다. 하나만 맞고 2개는 커서 입을수가 없습니다. 아빠랑 아들이랑 하나씩입는다고 텍부터 제거했는데 고객센터 전화했더니 업체에 문의후 연락준다는데 아직 무소식이네요. 해도해도 사이즈가 너무 차이납니다. ,부정,20
가성비 좋은 OOO 착용감도 좋고 디자인도 깔끔하고 만족합니다.,긍정,100
바지 뒤에 밴딩이 있어서 좋고 착용이 편하다고 합니다 신랑이 맘에 안들어하면 반품할 생각으로 주문했는데 신랑이 입어보고 맘에 들어하더라구요 잘 사줬다는 생각이 들었어요 ,긍정,100
착용감이 아주 편하고 좋아요 색은 조금 다른듯~조명탓이겠죠~,무반응,100
여름에 덥지않을꺼 같구요 얇고 스판기도 좋고 허리밴드로 되어있어서 너무 좋네요!,긍정,100
두개는 정 사이즈 하나는 한 사이즈 작네요.  상품평을 보니 저만 사이즈가 그런게 아니군요.  방송에서 프리미엄 진이라고 하지 맙시다.  포장 상태며 택 질이 어이 없네요.,무반응,20
착용감도 좋고 핏이 잘 맞는것 같고 싸게 잘 샀네요.~^^ 다만 시원한지는 모르겠네요.,긍정,80
바지가 편하기는 한데 허리사이즈가 조금씩 차이가 난데요 스판기가 많아 좋다고 합니다,무반응,100
바지가 쫀쫀하니 입으니 편하고 좋아요~~ 핏도 맘에 들어요~ 근데 진한 청바지는 좀 두껍네요..,긍정,100
같은  사이즈를 신청했는데 진청은 약간큼 기타 전반적으로 좋음가격대비좋은상품을구입해만족함 추심  좀 아쉬움이있다면 여름용인만큼 더 두께가 얋았으면함,무반응,80
가걱대비 제품이 좋으네요. 가족들이 색깔도 아주 좋다고 하네요. 사이즈도 잘 맞아요. 딱 타이트하게 입는 분들은 한칫수 작게 주문해도 좋을거같아요. 배송도 빠르고 좋아요. 추천합니다. ,긍정,100
뻣뻣하지않고 신축성이 있어 편하다네요  두께도 여름 진으로 딱 좋아요 두 세트 중 딸아이(키 170cm)용은 길이가 짧다해서 반품했어요,긍정,100
우리신랑 전형적이 배만 나온 올챙이몸매 입니다 여자인 저보다 허벅지 종아리 얇아요  배때문에 33이나34입으면 항상 바지 통이 너무 컸는데 스판완전 좋아서 허리 쫙쫙 늘어서 배가 완전 편하고 다리는 라인  완전 핏대서 이쁘고  스판 좋아서 운전하고 앉았다 일어났다가 하기편하고 여름용이라서 얇아서 좋아요  울신랑 맘에 쏙든다고 하네요 32시켰어요   ,긍정,100
촉감이 부드럽고 시원하다고 좋아하네요. 핏도 예쁘고 컬러도 굿~  ,긍정,100
"3가지 모두 잘 안늘어나서 잘 맞지 않습니다. 아이스블루, 블루 모델의 색상 차이도 크게 안나서  거의 비슷해보입니다 내구성은 어떨지 모르겠네요",부정,80
여름에 입기 넘 좋을것 같아요~~시원한 원단에 핏도 예쁘고 색상도 세벌다 마음에 드네요^^  신랑 사이즈에 잘맞아서 더 좋았답니다^^,긍정,100
남편 사줬는데 신축성이 너무 좋아서 맘에든다네요. 색상도 시원해 보이고 디자인도 예뻐요.,긍정,100
C2 가을시즌에 구매하고 남편이 넘 편하다고해서 여름 바지도 구매 색상도 다 맘에 들고 시원하고 착용감이 넘편하다고 합니다 남편이 넘 맘에 들어하네요,긍정,100
"배송 빨라요 그리고 무엇보다 상품이 좋아요  인터넷 쇼핑으로 이렇게 만족하기는 처음입니다 3종 모두 편하고, 딱 핏이 살아요 상의를 무엇을 입어도 다 어울리네요 다음에 C2 재구매 의사 있구요~  누군가 물어보신다면 강력 추천요~~^^",긍정,100
키186 체중76kg 사이즈 32 아주 잘 맞고 착용감 핏 완전 좋아요. 아들이 즐겨 입고 있어서 여성용도 구매합니다 ,긍정,100
